지역,기준연도,세부영역,구조환경지수_t,구조환경지수_t1,구조환경_t1연도,구조환경지수_변화_t_t1,예산_t2연도,예산_t3연도,계획예산비중_t2_pct,계획예산비중_t3_pct,계획예산비중_변화_t2_t3_pp,예산누락주의_두연도,후행예산비중_증가,대응방향
경북,2019,1-2. 주거안정성,89.6363499880756,88.59256623537671,2020.0,-1.0437837526988858,2021,2022.0,0.0762570156454393,0.2218038254948199,0.1455468098493806,False,True,하락 후 비중 증가
경북,2020,1-2. 주거안정성,88.59256623537671,85.20718851714483,2021.0,-3.3853777182318794,2022,2023.0,0.2218038254948199,0.0045203365243778,-0.217283488970442,False,False,하락 후 비중 비증가
경북,2021,1-2. 주거안정성,85.20718851714483,81.50998041717651,2022.0,-3.6972080999683214,2023,2024.0,0.0045203365243778,0.1182463116947177,0.1137259751703399,False,True,하락 후 비중 증가
광주,2017,1-2. 주거안정성,82.58646072840226,82.36208118676946,2018.0,-0.2243795416327998,2019,2020.0,3.355057631735918,3.465488907148726,0.1104312754128078,False,True,하락 후 비중 증가
광주,2018,1-2. 주거안정성,82.36208118676946,78.16075933317184,2019.0,-4.201321853597619,2020,2021.0,3.465488907148726,0.8555405892535809,-2.609948317895145,False,False,하락 후 비중 비증가
광주,2020,1-2. 주거안정성,79.3983129602208,77.71111136759416,2021.0,-1.68720159262665,2022,2023.0,0.281424113947487,0.1651409581444072,-0.1162831558030798,False,False,하락 후 비중 비증가
광주,2021,1-2. 주거안정성,77.71111136759416,75.64522650528646,2022.0,-2.0658848623076977,2023,2024.0,0.1651409581444072,0.9046098356375664,0.7394688774931591,False,True,하락 후 비중 증가
대구,2016,1-2. 주거안정성,75.31960441996247,74.82782332094489,2017.0,-0.4917810990175866,2018,2019.0,0.0228083901699985,0.0176680646334046,-0.0051403255365938,False,False,하락 후 비중 비증가
대구,2017,1-2. 주거안정성,74.82782332094489,74.0670840482319,2018.0,-0.760739272712982,2019,2020.0,0.0176680646334046,0.0322370156608666,0.0145689510274619,False,True,하락 후 비중 증가
대구,2018,1-2. 주거안정성,74.0670840482319,71.72376784548727,2019.0,-2.3433162027446315,2020,2021.0,0.0322370156608666,0.0330389096697726,0.0008018940089059,False,True,하락 후 비중 증가
대구,2019,1-2. 주거안정성,71.72376784548727,67.73489830982449,2020.0,-3.9888695356627863,2021,2022.0,0.0330389096697726,0.7772933343213285,0.7442544246515559,False,True,하락 후 비중 증가
대구,2020,1-2. 주거안정성,67.73489830982449,62.4342812327859,2021.0,-5.300617077038588,2022,2023.0,0.7772933343213285,0.4233742961068552,-0.3539190382144733,False,False,하락 후 비중 비증가
대전,2017,1-2. 주거안정성,74.46581326449808,72.08575718213372,2018.0,-2.380056082364362,2019,2020.0,0.4253468167593068,0.2436383541267448,-0.181708462632562,False,False,하락 후 비중 비증가
대전,2019,1-2. 주거안정성,72.57402023826289,69.34322570488463,2020.0,-3.2307945333782584,2021,2022.0,0.2595674871729715,0.2343719335311334,-0.0251955536418381,False,False,하락 후 비중 비증가
