지역,기준연도,세부영역,구조환경지수_t,구조환경지수_t1,구조환경_t1연도,구조환경지수_변화_t_t1,예산_t2연도,예산_t3연도,계획예산비중_t2_pct,계획예산비중_t3_pct,계획예산비중_변화_t2_t3_pp,예산누락주의_두연도
광주,2016,3-1. 의료서비스 여건,50.41863927011695,53.00822586442532,2017.0,2.589586594308372,2018,2019.0,1.7311964221771847,0.2127700640332197,-1.518426358143965,False
광주,2017,3-1. 의료서비스 여건,53.00822586442532,52.926918952921945,2018.0,-0.08130691150337555,2019,2020.0,0.2127700640332197,1.3090591618734593,1.0962890978402395,False
광주,2018,3-1. 의료서비스 여건,52.926918952921945,52.83179260252096,2019.0,-0.09512635040098161,2020,2021.0,1.3090591618734593,0.2776626912401786,-1.0313964706332808,False
광주,2019,3-1. 의료서비스 여건,52.83179260252096,51.271556978930555,2020.0,-1.5602356235904082,2021,2022.0,0.2776626912401786,0.273960806152062,-0.003701885088116641,True
광주,2020,3-1. 의료서비스 여건,51.271556978930555,53.267036525193575,2021.0,1.9954795462630202,2022,2023.0,0.273960806152062,0.2744722802607936,0.0005114741087316466,True
광주,2021,3-1. 의료서비스 여건,53.267036525193575,52.74465192790742,2022.0,-0.5223845972861554,2023,2024.0,0.2744722802607936,0.559397958221627,0.28492567796083335,False
대구,2016,3-1. 의료서비스 여건,39.6024853076292,42.68340294647537,2017.0,3.0809176388461665,2018,2019.0,0.1950462941204117,0.2370465338315123,0.04200023971110062,False
대구,2017,3-1. 의료서비스 여건,42.68340294647537,41.876961496521,2018.0,-0.8064414499543702,2019,2020.0,0.2370465338315123,0.3163062806724579,0.07925974684094561,False
대구,2018,3-1. 의료서비스 여건,41.876961496521,43.49185261469125,2019.0,1.6148911181702488,2020,2021.0,0.3163062806724579,0.1831695635398303,-0.13313671713262762,False
대구,2019,3-1. 의료서비스 여건,43.49185261469125,45.463199566856545,2020.0,1.9713469521652982,2021,2022.0,0.1831695635398303,0.1671798826214154,-0.015989680918414906,False
대구,2020,3-1. 의료서비스 여건,45.463199566856545,47.66976965516236,2021.0,2.206570088305817,2022,2023.0,0.1671798826214154,0.180794472102393,0.013614589480977601,False
대구,2021,3-1. 의료서비스 여건,47.66976965516236,48.36904525896621,2022.0,0.6992756038038479,2023,2024.0,0.180794472102393,0.3225740765316476,0.1417796044292546,False
대전,2016,3-1. 의료서비스 여건,69.55170209512754,72.17487740045905,2017.0,2.6231753053315146,2018,2019.0,2.2844223954301124,3.4033584006726145,1.1189360052425021,False
대전,2017,3-1. 의료서비스 여건,72.17487740045905,76.4521638203912,2018.0,4.277286419932153,2019,2020.0,3.4033584006726145,0.4322977901840992,-2.9710606104885153,False
대전,2018,3-1. 의료서비스 여건,76.4521638203912,75.75274470246913,2019.0,-0.6994191179220763,2020,2021.0,0.4322977901840992,0.4273558570846677,-0.0049419330994314725,False
대전,2019,3-1. 의료서비스 여건,75.75274470246913,71.81256466741875,2020.0,-3.940180035050375,2021,2022.0,0.4273558570846677,0.4084215826629543,-0.018934274421713415,False
대전,2020,3-1. 의료서비스 여건,71.81256466741875,74.00180524559265,2021.0,2.1892405781738944,2022,2023.0,0.4084215826629543,0.0517039393165917,-0.3567176433463626,False
대전,2021,3-1. 의료서비스 여건,74.00180524559265,72.67566589857492,2022.0,-1.3261393470177296,2023,2024.0,0.0517039393165917,0.3098398305843052,0.2581358912677135,False
부산,2016,3-1. 의료서비스 여건,59.70059638162357,59.99859561537828,2017.0,0.2979992337547088,2018,2019.0,0.3715794067882744,0.3704344596309594,-0.0011449471573150016,False
부산,2017,3-1. 의료서비스 여건,59.99859561537828,60.37196651206336,2018.0,0.3733708966850813,2019,2020.0,0.3704344596309594,0.2858926978025469,-0.0845417618284125,False
부산,2018,3-1. 의료서비스 여건,60.37196651206336,56.17812764180724,2019.0,-4.193838870256123,2020,2021.0,0.2858926978025469,0.4080057247701995,0.12211302696765258,False
