지역,연도,세부영역,합계출산율,세부영역_재정대응지수_z_전년도,세부영역_재정대응지수_z_전전년도
경북,2020,1-3. 경제적 여건,1.003,0.3798564596071806,-0.7928847008593147
경북,2021,1-3. 경제적 여건,0.966,0.5069125825282649,0.3798564596071806
경북,2022,1-3. 경제적 여건,0.93,0.4347203354232065,0.5069125825282649
경북,2023,1-3. 경제적 여건,0.86,0.5655492120414811,0.4347203354232065
경북,2024,1-3. 경제적 여건,0.897,0.5049126768088764,0.5655492120414811
경북,2016,2-1. 돌봄 여건,1.396,,
경북,2017,2-1. 돌봄 여건,1.256,-0.2873212466083052,
경북,2018,2-1. 돌봄 여건,1.167,0.0999720151360678,-0.2873212466083052
경북,2019,2-1. 돌봄 여건,1.089,0.8970531829588305,0.0999720151360678
경북,2020,2-1. 돌봄 여건,1.003,0.0325356916894619,0.8970531829588305
경북,2021,2-1. 돌봄 여건,0.966,0.0990146187458404,0.0325356916894619
경북,2022,2-1. 돌봄 여건,0.93,0.5353610261873465,0.0990146187458404
경북,2023,2-1. 돌봄 여건,0.86,0.5579045215615497,0.5353610261873465
경북,2024,2-1. 돌봄 여건,0.897,0.3213624816949181,0.5579045215615497
경북,2016,2-2. 여가 인프라,1.396,,
경북,2017,2-2. 여가 인프라,1.256,-0.0279873550622112,
경북,2018,2-2. 여가 인프라,1.167,-1.7530896609881468,-0.0279873550622112
경북,2019,2-2. 여가 인프라,1.089,-0.9513008182819408,-1.7530896609881468
경북,2020,2-2. 여가 인프라,1.003,-0.6166962104123326,-0.9513008182819408
경북,2021,2-2. 여가 인프라,0.966,-0.5100635511326889,-0.6166962104123326
경북,2022,2-2. 여가 인프라,0.93,-1.43946430821069,-0.5100635511326889
경북,2023,2-2. 여가 인프라,0.86,0.4385756404247823,-1.43946430821069
경북,2024,2-2. 여가 인프라,0.897,0.476900199303679,0.4385756404247823
경북,2016,2-3. 가사수행 격차,1.396,,
경북,2017,2-3. 가사수행 격차,1.256,0.6424804442389821,
경북,2018,2-3. 가사수행 격차,1.167,0.2082020839780115,0.6424804442389821
경북,2019,2-3. 가사수행 격차,1.089,0.2837233155084291,0.2082020839780115
경북,2020,2-3. 가사수행 격차,1.003,0.1089927557223726,0.2837233155084291
경북,2021,2-3. 가사수행 격차,0.966,0.8809769152194309,0.1089927557223726
경북,2022,2-3. 가사수행 격차,0.93,0.9766292278886264,0.8809769152194309
경북,2023,2-3. 가사수행 격차,0.86,0.7660073302891581,0.9766292278886264
경북,2024,2-3. 가사수행 격차,0.897,0.7899608089241515,0.7660073302891581
경북,2016,3-1. 의료서비스 여건,1.396,,
경북,2017,3-1. 의료서비스 여건,1.256,0.1606832890778114,
경북,2018,3-1. 의료서비스 여건,1.167,0.2809158435677105,0.1606832890778114
경북,2019,3-1. 의료서비스 여건,1.089,0.0778132357637038,0.2809158435677105
