지역,연도,세부영역,당해계획예산_백만원_provisional,사업수,예산결측_사업수,CPI_지수,CPI_기준연도,당해계획예산_실질_백만원_provisional,전년대비_실질증감률_pct_provisional,전체인구_명,인구1인당_실질예산_원,직전1년_출산율하락도,합계출산율,구조환경지수_전년도,인구1인당_실질예산_전년도,인구1인당_실질예산_전전년도
전북,2023,3-2. 산후조리 여건,7215.0,16,0,97.706583,2024,7384.354030679796,-4.051137544306693,1754757,4208.191807002221,0.03300000000000003,0.78,58.98627046748707,4349.06453638045,4738.399684478741
전북,2024,3-2. 산후조리 여건,10178.0,19,0,100.0,2024,10178.0,37.831961437837826,1738690,5853.8324830763395,0.03699999999999992,0.808,60.279875773274355,4208.191807002221,4349.06453638045
전북,2016,3-3. 아동안전 수준,4484.0,4,0,83.786765,2024,5351.68054286378,,1864791,2869.855411605794,,1.251,,,
전북,2017,3-3. 아동안전 수준,6852.0,3,0,85.339636,2024,8029.094476100179,50.02940500263245,1854607,4329.270015750064,,1.151,29.5794959849715,2869.855411605794,
전북,2018,3-3. 아동안전 수준,6055.0,3,0,86.797969,2024,6975.96967965921,-13.11635825902604,1836832,3797.8267362824745,0.09999999999999987,1.044,44.04325782269614,4329.270015750064,2869.855411605794
전북,2019,3-3. 아동안전 수준,0.0,1,0,87.068452,2024,0.0,-100.0,1818917,0.0,0.10699999999999998,0.971,61.471280453090195,3797.8267362824745,4329.270015750064
전북,2020,3-3. 아동안전 수준,0.0,1,0,87.535014,2024,0.0,,1804104,0.0,0.07300000000000006,0.909,62.740902839632874,0.0,3797.8267362824745
전북,2021,3-3. 아동안전 수준,5765.0,6,0,89.802171,2024,6419.6666247634475,inf,1786855,3592.7182814293537,0.061999999999999944,0.85,69.84865590787905,0.0,0.0
전북,2022,3-3. 아동안전 수준,837.0,6,0,94.590336,2024,884.868407698647,-86.21628724012982,1769607,500.0366791602017,0.05900000000000005,0.817,70.52573995757314,3592.7182814293537,0.0
전북,2023,3-3. 아동안전 수준,832.0,6,0,97.706583,2024,851.5291134477602,-3.7677121209011344,1754757,485.2689651317876,0.03300000000000003,0.78,68.99269906090923,500.0366791602017,3592.7182814293537
