지역,지표_id,연도,원본파일,원본행번호,입력값,최종값,절대차,허용오차,결과
경남,child_traffic_accident_rate,2017,구조환경지표_21개_검증본.csv,251,153.71315679987643,153.71315679987643,0.0,1e-12,PASS
경남,child_traffic_accident_rate,2018,구조환경지표_21개_검증본.csv,251,134.06595638793812,134.06595638793812,0.0,1e-12,PASS
경남,child_traffic_accident_rate,2019,구조환경지표_21개_검증본.csv,251,158.64318330071754,158.64318330071754,0.0,1e-12,PASS
경남,child_traffic_accident_rate,2020,구조환경지표_21개_검증본.csv,251,137.47247811942032,137.47247811942032,0.0,1e-12,PASS
경남,child_traffic_accident_rate,2021,구조환경지표_21개_검증본.csv,251,140.58066426520008,140.58066426520008,0.0,1e-12,PASS
경남,child_traffic_accident_rate,2022,구조환경지표_21개_검증본.csv,251,147.6518206348725,147.6518206348725,0.0,1e-12,PASS
경남,child_traffic_accident_rate,2023,구조환경지표_21개_검증본.csv,251,151.41416951916295,151.41416951916295,0.0,1e-12,PASS
경남,child_traffic_accident_rate,2024,구조환경지표_21개_검증본.csv,251,154.27934939775707,154.27934939775707,0.0,1e-12,PASS
경북,child_traffic_accident_rate,2016,구조환경지표_21개_검증본.csv,250,248.06179883236263,248.06179883236263,0.0,1e-12,PASS
경북,child_traffic_accident_rate,2017,구조환경지표_21개_검증본.csv,250,258.10223557889407,258.10223557889407,0.0,1e-12,PASS
경북,child_traffic_accident_rate,2018,구조환경지표_21개_검증본.csv,250,236.66650840202627,236.66650840202627,0.0,1e-12,PASS
경북,child_traffic_accident_rate,2019,구조환경지표_21개_검증본.csv,250,258.59577614388286,258.59577614388286,0.0,1e-12,PASS
경북,child_traffic_accident_rate,2020,구조환경지표_21개_검증본.csv,250,203.8723970915776,203.8723970915776,0.0,1e-12,PASS
경북,child_traffic_accident_rate,2021,구조환경지표_21개_검증본.csv,250,211.2840419128576,211.2840419128576,0.0,1e-12,PASS
경북,child_traffic_accident_rate,2022,구조환경지표_21개_검증본.csv,250,214.4318201351049,214.4318201351049,0.0,1e-12,PASS
경북,child_traffic_accident_rate,2023,구조환경지표_21개_검증본.csv,250,218.17948471139343,218.17948471139343,0.0,1e-12,PASS
경북,child_traffic_accident_rate,2024,구조환경지표_21개_검증본.csv,250,232.657239558588,232.657239558588,0.0,1e-12,PASS
광주,child_traffic_accident_rate,2016,구조환경지표_21개_검증본.csv,240,257.7666324054093,257.7666324054093,0.0,1e-12,PASS
광주,child_traffic_accident_rate,2017,구조환경지표_21개_검증본.csv,240,255.49338365945988,255.49338365945988,0.0,1e-12,PASS
광주,child_traffic_accident_rate,2018,구조환경지표_21개_검증본.csv,240,236.51337514182333,236.51337514182333,0.0,1e-12,PASS
광주,child_traffic_accident_rate,2019,구조환경지표_21개_검증본.csv,240,256.9618045462473,256.9618045462473,0.0,1e-12,PASS
광주,child_traffic_accident_rate,2020,구조환경지표_21개_검증본.csv,240,224.46962950311695,224.46962950311692,2.842170943040401e-14,1e-12,PASS
광주,child_traffic_accident_rate,2021,구조환경지표_21개_검증본.csv,240,236.49780891735853,236.49780891735853,0.0,1e-12,PASS
광주,child_traffic_accident_rate,2022,구조환경지표_21개_검증본.csv,240,232.2414258176148,232.2414258176148,0.0,1e-12,PASS
광주,child_traffic_accident_rate,2023,구조환경지표_21개_검증본.csv,240,243.91773700092688,243.91773700092688,0.0,1e-12,PASS
광주,child_traffic_accident_rate,2024,구조환경지표_21개_검증본.csv,240,256.2512000236312,256.2512000236312,0.0,1e-12,PASS
대구,child_traffic_accident_rate,2016,구조환경지표_21개_검증본.csv,238,210.3853877785216,210.3853877785216,0.0,1e-12,PASS
대구,child_traffic_accident_rate,2017,구조환경지표_21개_검증본.csv,238,236.56018954854557,236.5601895485456,2.842170943040401e-14,1e-12,PASS
대구,child_traffic_accident_rate,2018,구조환경지표_21개_검증본.csv,238,218.0899467445852,218.0899467445852,0.0,1e-12,PASS
대구,child_traffic_accident_rate,2019,구조환경지표_21개_검증본.csv,238,306.39798528498966,306.39798528498966,0.0,1e-12,PASS
